ds,y
11/10/2014,27.20750046
11/11/2014,27.42499924
11/12/2014,27.8125
11/13/2014,28.20499992
11/14/2014,28.54500008
11/17/2014,28.49749947
11/18/2014,28.86750031
11/19/2014,28.66749954
11/20/2014,29.07749939
11/21/2014,29.11750031
11/24/2014,29.65749931
11/25/2014,29.39999962
11/26/2014,29.75
11/28/2014,29.73250008
12/1/2014,28.76749992
12/2/2014,28.65749931
12/3/2014,28.98250008
12/4/2014,28.87249947
12/5/2014,28.75
12/8/2014,28.10000038
12/9/2014,28.53000069
12/10/2014,27.98749924
12/11/2014,27.90500069
12/12/2014,27.43250084
12/15/2014,27.05750084
12/16/2014,26.6875
12/17/2014,27.35250092
12/18/2014,28.16250038
12/19/2014,27.94499969
12/22/2014,28.23500061
12/23/2014,28.13500023
12/24/2014,28.00250053
12/26/2014,28.49749947
12/29/2014,28.47750092
12/30/2014,28.12999916
12/31/2014,27.59499931
1/2/2015,27.33250046
1/5/2015,26.5625
1/6/2015,26.56500053
1/7/2015,26.9375
1/8/2015,27.97249985
1/9/2015,28.00250053
1/12/2015,27.3125
1/13/2015,27.55500031
1/14/2015,27.45000076
1/15/2015,26.70499992
1/16/2015,26.49749947
1/20/2015,27.18000031
1/21/2015,27.38750076
1/22/2015,28.10000038
1/23/2015,28.24500084
1/26/2015,28.27499962
1/27/2015,27.28499985
1/28/2015,28.82749939
1/29/2015,29.72500038
1/30/2015,29.29000092
2/2/2015,29.65749931
2/3/2015,29.66250038
2/4/2015,29.88999939
2/5/2015,29.98500061
2/6/2015,29.73250008
2/9/2015,29.93000031
2/10/2015,30.50499916
2/11/2015,31.21999931
2/12/2015,31.61499977
2/13/2015,31.77000046
2/17/2015,31.95750046
2/18/2015,32.18000031
2/19/2015,32.11249924
2/20/2015,32.375
2/23/2015,33.25
2/24/2015,33.04249954
2/25/2015,32.19749832
2/26/2015,32.60499954
2/27/2015,32.11500168
3/2/2015,32.27249908
3/3/2015,32.34000015
3/4/2015,32.13499832
3/5/2015,31.60250092
3/6/2015,31.64999962
3/9/2015,31.78499985
3/10/2015,31.12750053
3/11/2015,30.55999947
3/12/2015,31.11249924
3/13/2015,30.89749908
3/16/2015,31.23749924
3/17/2015,31.76000023
3/18/2015,32.11750031
3/19/2015,31.875
3/20/2015,31.47500038
3/23/2015,31.80249977
3/24/2015,31.67250061
3/25/2015,30.84499931
3/26/2015,31.05999947
3/27/2015,30.8125
3/30/2015,31.59250069
3/31/2015,31.10750008
4/1/2015,31.0625
4/2/2015,31.32999992
4/6/2015,31.83749962
4/7/2015,31.50250053
4/8/2015,31.39999962
4/9/2015,31.63999939
4/10/2015,31.77499962
4/13/2015,31.71249962
4/14/2015,31.57500076
4/15/2015,31.69499969
4/16/2015,31.54249954
4/17/2015,31.1875
4/20/2015,31.89999962
4/21/2015,31.72750092
4/22/2015,32.15499878
4/23/2015,32.41749954
